job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category,salary_log,ai_risk_category_clean,job_demand_category,experience_level_num,salary_per_opening,risk_adjusted_salary,job_sector
Software Engineer,India,Mid,Master,2023,10992.95,0.43,Java,63,41757,1,Medium,Medium Risk,9.30500943721957,Medium Risk,High Demand,2,0.2632537477848556,6265.981500000001,Software Engineering
DevOps Engineer,India,Senior,Master,2016,14701.85,0.21,Docker,77,7873,1,Medium,Low Risk,9.595728615188474,Low Risk,Low Demand,3,1.8671386842773685,11614.461500000001,Cloud & DevOps
Software Engineer,USA,Mid,Master,2023,38667.48,0.43,Java,69,27557,1,High,Medium Risk,10.56275421568193,Medium Risk,Medium Demand,2,1.4031308512954497,22040.463600000003,Software Engineering
Data Scientist,India,Senior,PhD,2025,21163.97,0.35,Python,90,12534,1,High,Medium Risk,9.9600554865216,Medium Risk,Medium Demand,3,1.6883901076984444,13756.580500000002,Data & AI
Software Engineer,Australia,Mid,Master,2035,35680.12,0.55,Java,82,26851,1,High,Medium Risk,10.48234894991699,Medium Risk,Medium Demand,2,1.328769551616267,16056.054,Software Engineering
Business Analyst,India,Mid,Bachelor,2022,7699.62,0.72,Excel,99,25276,0,Low,High Risk,8.94892625597464,High Risk,Medium Demand,2,0.3046097242552518,2155.8936000000003,Business & Analytics
DevOps Engineer,Canada,Mid,PhD,2033,41105.95,0.38,Docker,77,18262,1,High,Medium Risk,10.623908158862774,Medium Risk,Medium Demand,2,2.2507775283359797,25485.689,Cloud & DevOps
AI Researcher,Canada,Mid,Master,2022,43586.94,0.12,Deep Learning,85,22243,2,High,Low Risk,10.682512843181271,Low Risk,Medium Demand,2,1.9594919978421148,38356.5072,Data & AI
ML Engineer,Canada,Mid,Bachelor,2016,32823.93,0.16,Python,88,49984,2,High,Low Risk,10.398913101533836,Low Risk,High Demand,2,0.6566756026808043,27572.1012,Data & AI
Data Scientist,India,Senior,Bachelor,2028,22880.32,0.38,Python,83,3027,1,High,Medium Risk,10.038032431409917,Medium Risk,Low Demand,3,7.556248348745046,14185.7984,Data & AI
Product Manager,USA,Mid,Master,2034,60582.5,0.49,Strategy,70,23002,2,High,Medium Risk,11.011761351474869,Medium Risk,Medium Demand,2,2.6336782158848844,30897.075,Business & Analytics
Business Analyst,Canada,Mid,PhD,2015,18952.96,0.65,Excel,94,13666,1,Medium,High Risk,9.849715398840244,High Risk,Medium Demand,2,1.3867681276066437,6633.535999999999,Business & Analytics
Data Scientist,Australia,Senior,Master,2035,59279.62,0.45,Python,98,39952,2,High,Medium Risk,10.990020849693012,Medium Risk,High Demand,3,1.4837338873175983,32603.791000000005,Data & AI
Cloud Engineer,USA,Mid,Master,2020,47949.47,0.3,AWS,68,31535,2,High,Medium Risk,10.777903027070101,Medium Risk,High Demand,2,1.5204677194317606,33564.629,Cloud & DevOps
Business Analyst,USA,Senior,PhD,2023,45109.29,0.73,Excel,92,24599,1,High,High Risk,10.716843490974654,High Risk,Medium Demand,3,1.833710975609756,12179.508300000001,Business & Analytics
DevOps Engineer,India,Senior,Bachelor,2035,24548.92,0.4,Docker,83,31818,1,High,Medium Risk,10.108423140401635,Medium Risk,High Demand,3,0.7715176466890851,14729.351999999999,Cloud & DevOps
Cybersecurity Analyst,Australia,Senior,PhD,2021,41363.23,0.21,Security,81,25538,2,High,Low Risk,10.630147600910636,Low Risk,Medium Demand,3,1.6196103997807276,32676.951700000005,Cybersecurity
ML Engineer,Germany,Entry,PhD,2031,31460.69,0.31,Python,94,48716,2,High,Medium Risk,10.356494108984593,Medium Risk,High Demand,1,0.6457846337007616,21707.876099999998,Data & AI
Data Analyst,Canada,Mid,Master,2015,17071.74,0.55,SQL,62,18412,0,Medium,Medium Risk,9.745179743809818,Medium Risk,Medium Demand,2,0.9271569000162929,7682.283,Data & AI
Data Scientist,Germany,Mid,Bachelor,2016,26065.58,0.26,Python,73,26446,1,High,Low Risk,10.168370949016785,Low Risk,Medium Demand,2,0.9855779483495293,19288.5292,Data & AI
Software Engineer,Canada,Entry,Bachelor,2030,21567.97,0.5,Java,74,22518,1,High,Medium Risk,9.978964622761511,Medium Risk,Medium Demand,1,0.9577676628624717,10783.985,Software Engineering
Data Scientist,Canada,Entry,Bachelor,2030,24336.28,0.4,Python,72,49702,1,High,Medium Risk,10.099723520021314,Medium Risk,High Demand,1,0.4896340261151238,14601.767999999998,Data & AI
DevOps Engineer,India,Mid,PhD,2034,17789.83,0.39,Docker,91,23403,1,Medium,Medium Risk,9.786382224683924,Medium Risk,Medium Demand,2,0.7601192103913862,10851.7963,Cloud & DevOps
AI Researcher,India,Senior,PhD,2021,24885.62,0.11,Deep Learning,82,7374,2,High,Low Risk,10.122045405589484,Low Risk,Low Demand,3,3.3743213559322034,22148.2018,Data & AI
Cybersecurity Analyst,UK,Senior,PhD,2026,46629.98,0.26,Security,88,34827,2,High,Low Risk,10.749998960893846,Low Risk,High Demand,3,1.338864706557942,34506.1852,Cybersecurity
Business Analyst,Canada,Mid,Bachelor,2022,23972.5,0.72,Excel,66,10914,0,High,High Risk,10.084662619027837,High Risk,Medium Demand,2,2.1962895098488318,6712.300000000001,Business & Analytics
Software Engineer,USA,Mid,Bachelor,2033,50399.8,0.53,Java,87,44585,2,High,Medium Risk,10.827742485797618,Medium Risk,High Demand,2,1.1303951913156598,23687.906,Software Engineering
DevOps Engineer,India,Senior,Bachelor,2015,16141.72,0.2,Docker,65,30467,1,Medium,Low Risk,9.6891625036801,Low Risk,High Demand,3,0.5297925692529867,12913.376,Cloud & DevOps
Data Scientist,Australia,Senior,Bachelor,2022,51981.29,0.32,Python,79,49925,2,High,Medium Risk,10.858639125124938,Medium Risk,High Demand,3,1.0411667267555984,35347.2772,Data & AI
Data Scientist,USA,Mid,Bachelor,2031,55770.78,0.41,Python,87,22976,2,High,Medium Risk,10.929005355299783,Medium Risk,Medium Demand,2,2.427243765504635,32904.760200000004,Data & AI
Software Engineer,Germany,Senior,Master,2021,38375.4,0.41,Java,92,31080,2,High,Medium Risk,10.555171908287944,Medium Risk,High Demand,3,1.2346900035391397,22641.486000000004,Software Engineering
DevOps Engineer,India,Senior,PhD,2033,22935.21,0.38,Docker,72,10474,1,High,Medium Risk,10.040428563300669,Medium Risk,Medium Demand,3,2.189518854415274,14219.830199999999,Cloud & DevOps
Business Analyst,India,Mid,Master,2021,7445.48,0.71,Excel,67,6530,0,Low,High Risk,8.915362415840365,High Risk,Low Demand,2,1.1400214362272238,2159.1892000000003,Business & Analytics
Data Scientist,USA,Senior,Master,2026,68671.64,0.36,Python,96,32968,2,High,Medium Risk,11.137091583665352,Medium Risk,High Demand,3,2.0829154660438594,43949.8496,Data & AI
AI Researcher,UK,Mid,PhD,2016,34641.6,0.06,Deep Learning,83,35766,2,High,Low Risk,10.452810550986118,Low Risk,High Demand,2,0.9685352419828333,32563.103999999996,Data & AI
Data Scientist,USA,Mid,PhD,2025,42481.45,0.35,Python,91,31303,2,High,Medium Risk,10.65682278904326,Medium Risk,High Demand,2,1.357061397904421,27612.942499999997,Data & AI
Data Scientist,India,Entry,Bachelor,2032,10692.83,0.42,Python,71,45417,1,Medium,Medium Risk,9.277328702379085,Medium Risk,High Demand,1,0.23543154696375887,6201.841400000001,Data & AI
Business Analyst,India,Mid,Bachelor,2023,9048.5,0.73,Excel,96,21080,0,Low,High Risk,9.110354277100257,High Risk,Medium Demand,2,0.4292253688155211,2443.0950000000003,Business & Analytics
Business Analyst,India,Entry,Master,2032,8135.56,0.82,Excel,61,38505,0,Low,High Risk,9.003999855636684,High Risk,High Demand,1,0.21128031995013766,1464.4008000000006,Business & Analytics
Data Scientist,USA,Senior,PhD,2015,51565.89,0.25,Python,82,25548,2,High,Low Risk,10.850615686370444,Low Risk,Medium Demand,3,2.018313436925124,38674.417499999996,Data & AI
Data Scientist,India,Entry,Master,2030,9835.49,0.4,Python,60,47717,1,Low,Medium Risk,9.193752551646138,Medium Risk,High Demand,1,0.20611697891780878,5901.294,Data & AI
Business Analyst,India,Mid,Bachelor,2020,7478.28,0.7,Excel,85,39559,0,Low,High Risk,8.919758098002703,High Risk,High Demand,2,0.18903640040444894,2243.4840000000004,Business & Analytics
AI Researcher,USA,Mid,Master,2029,65293.48,0.19,Deep Learning,63,33970,2,High,Low Risk,11.08664746341885,Low Risk,High Demand,2,1.9220358541108593,52887.71880000001,Data & AI
Cybersecurity Analyst,UK,Senior,PhD,2032,52501.69,0.32,Security,76,26342,2,High,Medium Risk,10.868600638537803,Medium Risk,Medium Demand,3,1.9930034544281214,35701.1492,Cybersecurity
Business Analyst,India,Entry,Master,2021,6132.55,0.71,Excel,64,41545,0,Low,High Risk,8.721365929381102,High Risk,High Demand,1,0.1476086747219949,1778.4395000000002,Business & Analytics
Data Analyst,Canada,Senior,PhD,2016,24745.67,0.56,SQL,70,45542,1,High,Medium Risk,10.11640580319644,Medium Risk,High Demand,3,0.5433473859868695,10888.094799999997,Data & AI
Cloud Engineer,USA,Entry,PhD,2030,35875.41,0.4,AWS,92,28848,2,High,Medium Risk,10.487807381568045,Medium Risk,Medium Demand,1,1.2435581822593504,21525.246000000003,Cloud & DevOps
DevOps Engineer,Canada,Entry,Bachelor,2031,27269.03,0.36,Docker,65,16708,1,High,Medium Risk,10.21350690498331,Medium Risk,Medium Demand,1,1.6319965288168052,17452.1792,Cloud & DevOps
Data Scientist,India,Entry,PhD,2017,7951.8,0.27,Python,95,7546,1,Low,Low Risk,8.981153597114687,Low Risk,Low Demand,1,1.0536372068371538,5804.814,Data & AI
Software Engineer,UK,Entry,PhD,2022,22245.77,0.42,Java,78,12411,1,High,Medium Risk,10.00990715716119,Medium Risk,Medium Demand,1,1.7922792458910732,12902.546600000001,Software Engineering
Product Manager,Canada,Entry,PhD,2017,22829.95,0.32,Strategy,92,19343,1,High,Medium Risk,10.035828549420698,Medium Risk,Medium Demand,1,1.1802083333333333,15524.365999999998,Business & Analytics
AI Researcher,Australia,Senior,PhD,2031,76156.84,0.21,Deep Learning,77,12111,2,High,Low Risk,11.240550177007808,Low Risk,Medium Demand,3,6.287717965653897,60163.9036,Data & AI
Cloud Engineer,Germany,Entry,PhD,2025,23210.79,0.35,AWS,87,9120,1,High,Medium Risk,10.05237253574223,Medium Risk,Low Demand,1,2.544763732046925,15087.013500000001,Cloud & DevOps
Software Engineer,Germany,Mid,Bachelor,2035,33217.01,0.55,Java,82,22918,1,High,Medium Risk,10.410817373096032,Medium Risk,Medium Demand,2,1.4493219599458964,14947.654499999999,Software Engineering
Cybersecurity Analyst,UK,Mid,Bachelor,2015,25596.14,0.15,Security,94,17646,2,High,Low Risk,10.150196837849018,Low Risk,Medium Demand,2,1.4504527681758939,21756.718999999997,Cybersecurity
Business Analyst,Canada,Senior,Bachelor,2017,29863.92,0.67,Excel,85,26199,1,High,High Risk,10.304406341780224,High Risk,Medium Demand,3,1.1398442748091602,9855.093599999998,Business & Analytics
DevOps Engineer,India,Senior,Master,2019,17834.75,0.24,Docker,61,32616,1,Medium,Low Risk,9.788904080313195,Low Risk,High Demand,3,0.5467930833614373,13554.41,Cloud & DevOps
Cloud Engineer,USA,Entry,Master,2024,31441.17,0.34,AWS,71,21932,1,High,Medium Risk,10.355873459591187,Medium Risk,Medium Demand,1,1.4335097797838872,20751.172199999997,Cloud & DevOps
ML Engineer,UK,Senior,PhD,2024,69133.99,0.24,Python,68,8400,2,High,Low Risk,11.143801784617864,Low Risk,Low Demand,3,8.229257231281991,52541.83240000001,Data & AI
Product Manager,Australia,Senior,Bachelor,2032,68207.28,0.47,Strategy,75,2154,2,High,Medium Risk,11.13030658300276,Medium Risk,Low Demand,3,31.650709976798144,36149.858400000005,Business & Analytics
Cybersecurity Analyst,Australia,Entry,Bachelor,2023,21340.24,0.23,Security,92,13183,1,High,Low Risk,9.968349771277977,Low Risk,Medium Demand,1,1.6186468446601943,16431.984800000002,Cybersecurity
Data Scientist,USA,Senior,PhD,2019,62926.92,0.29,Python,67,6539,2,High,Low Risk,11.049729332052918,Low Risk,Low Demand,3,9.621853211009174,44678.1132,Data & AI
Cybersecurity Analyst,Germany,Senior,Bachelor,2025,44740.52,0.25,Security,79,49354,2,High,Low Risk,10.708634857685563,Low Risk,High Demand,3,0.9065043055414851,33555.39,Cybersecurity
Software Engineer,Australia,Senior,Master,2031,52568.03,0.51,Java,84,17482,1,High,Medium Risk,10.869863419266935,Medium Risk,Medium Demand,3,3.0068083280901448,25758.3347,Software Engineering
Business Analyst,Germany,Entry,Bachelor,2035,21456.76,0.85,Excel,77,47975,0,High,High Risk,9.973795026221508,High Risk,High Demand,1,0.44723945305986323,3218.514,Business & Analytics
AI Researcher,Germany,Entry,Bachelor,2025,28423.73,0.15,Deep Learning,61,3869,1,High,Low Risk,10.25497963864083,Low Risk,Low Demand,1,7.3446330749354,24160.1705,Data & AI
ML Engineer,Australia,Mid,Bachelor,2029,45533.42,0.29,Python,95,25736,2,High,Low Risk,10.726201840816403,Low Risk,Medium Demand,2,1.769181334265843,32328.728199999998,Data & AI
DevOps Engineer,Australia,Mid,PhD,2015,25617.49,0.2,Docker,73,26876,1,High,Low Risk,10.151030600315643,Low Risk,Medium Demand,2,0.9531379990326302,20493.992000000002,Cloud & DevOps
Data Scientist,USA,Senior,Bachelor,2032,74182.73,0.42,Python,67,47214,2,High,Medium Risk,11.214286652738998,Medium Risk,High Demand,3,1.5711686963888594,43025.983400000005,Data & AI
Data Analyst,Germany,Senior,PhD,2019,26313.54,0.59,SQL,92,5555,1,High,Medium Risk,10.177838914584266,Medium Risk,Low Demand,3,4.736058315334773,10788.5514,Data & AI
AI Researcher,India,Entry,Master,2026,12124.34,0.16,Deep Learning,81,20830,1,Medium,Low Risk,9.402970281334465,Low Risk,Medium Demand,1,0.5820335077528683,10184.4456,Data & AI
Data Analyst,Germany,Entry,PhD,2022,12070.92,0.62,SQL,89,15373,0,Medium,High Risk,9.398554533224937,High Risk,Medium Demand,1,0.7851515545726552,4586.9496,Data & AI
Data Scientist,Germany,Senior,Master,2034,64513.96,0.44,Python,67,20738,2,High,Medium Risk,11.074636913473908,Medium Risk,Medium Demand,3,3.1107555812719996,36127.8176,Data & AI
ML Engineer,India,Entry,Bachelor,2028,11522.8,0.28,Python,80,33352,1,Medium,Low Risk,9.352082960272222,Low Risk,High Demand,1,0.345480166701646,8296.416,Data & AI
Data Analyst,India,Senior,Master,2028,12702.41,0.68,SQL,92,30124,1,Medium,High Risk,9.449547018223342,High Risk,High Demand,3,0.42165676348547715,4064.771199999999,Data & AI
Software Engineer,Germany,Entry,PhD,2018,16241.09,0.38,Java,78,38410,1,Medium,Medium Risk,9.695299729689943,Medium Risk,High Demand,1,0.42282393064486734,10069.4758,Software Engineering
AI Researcher,USA,Mid,Bachelor,2021,56573.73,0.11,Deep Learning,76,19589,2,High,Low Risk,10.943300022172004,Low Risk,Medium Demand,2,2.8878882082695254,50350.6197,Data & AI
Business Analyst,Germany,Mid,Bachelor,2022,23097.39,0.72,Excel,65,48202,0,High,High Risk,10.047474903113384,High Risk,High Demand,2,0.479169138850279,6467.269200000001,Business & Analytics
Data Analyst,Australia,Entry,Master,2025,15472.37,0.65,SQL,96,19711,1,Medium,High Risk,9.646811131574665,High Risk,Medium Demand,1,0.7849213676948052,5415.3295,Data & AI
Cybersecurity Analyst,USA,Mid,Master,2035,45988.74,0.35,Security,90,1699,2,High,Medium Risk,10.736151862898383,Medium Risk,Low Demand,2,27.0522,29892.681,Cybersecurity
DevOps Engineer,UK,Senior,PhD,2025,61377.61,0.3,Docker,80,36743,2,High,Medium Risk,11.024800389650888,Medium Risk,High Demand,3,1.6704117679076855,42964.327,Cloud & DevOps
Data Analyst,USA,Mid,Bachelor,2033,34611.15,0.73,SQL,62,27641,0,High,High Risk,10.4519311634683,High Risk,Medium Demand,2,1.2521217712177122,9345.0105,Data & AI
Cybersecurity Analyst,USA,Entry,PhD,2028,29275.59,0.28,Security,90,24093,2,High,Low Risk,10.284509341977609,Low Risk,Medium Demand,1,1.2150572756702913,21078.4248,Cybersecurity
Cloud Engineer,Australia,Mid,Master,2034,48457.13,0.44,AWS,99,37631,2,High,Medium Risk,10.788434768514348,Medium Risk,High Demand,2,1.2876575786564626,27135.9928,Cloud & DevOps
DevOps Engineer,USA,Mid,PhD,2021,40840.45,0.26,Docker,81,19070,2,High,Low Risk,10.617428290827103,Low Risk,Medium Demand,2,2.1414949399611976,30221.932999999997,Cloud & DevOps
Cybersecurity Analyst,USA,Senior,Master,2015,41412.75,0.15,Security,86,11729,2,High,Low Risk,10.63134408341456,Low Risk,Medium Demand,3,3.5304987212276213,35200.8375,Cybersecurity
DevOps Engineer,Canada,Senior,PhD,2021,51968.01,0.26,Docker,76,28751,2,High,Low Risk,10.85838361594744,Low Risk,Medium Demand,3,1.807457220367279,38456.3274,Cloud & DevOps
Cloud Engineer,UK,Entry,PhD,2025,29132.39,0.35,AWS,98,6801,1,High,Medium Risk,10.279605892588577,Medium Risk,Low Demand,1,4.282915319023816,18936.0535,Cloud & DevOps
Product Manager,Germany,Senior,Bachelor,2024,58157.41,0.39,Strategy,94,30592,2,High,Medium Risk,10.970908578891185,Medium Risk,High Demand,3,1.9010038244042755,35476.0201,Business & Analytics
DevOps Engineer,Germany,Senior,Master,2025,52329.12,0.3,Docker,66,25376,2,High,Medium Risk,10.865308282867128,Medium Risk,Medium Demand,3,2.0620688024589198,36630.384,Cloud & DevOps
AI Researcher,Australia,Mid,PhD,2019,40317.56,0.09,Deep Learning,79,3368,2,High,Low Risk,10.604542385041075,Low Risk,Low Demand,2,11.967218759275749,36688.9796,Data & AI
Software Engineer,UK,Senior,Master,2020,39739.76,0.4,Java,75,11893,1,High,Medium Risk,10.590107476832413,Medium Risk,Medium Demand,3,3.3411602488649743,23843.856,Software Engineering
Product Manager,Canada,Mid,Master,2032,48670.67,0.47,Strategy,82,14403,1,High,Medium Risk,10.792831868913145,Medium Risk,Medium Demand,2,3.3789690363787837,25795.4551,Business & Analytics
Data Analyst,Germany,Mid,Bachelor,2028,21178.87,0.68,SQL,91,11966,1,High,High Risk,9.960759265513042,High Risk,Medium Demand,2,1.7697727082811063,6777.238399999998,Data & AI
Product Manager,Canada,Senior,Master,2029,65878.17,0.44,Strategy,84,23677,2,High,Medium Risk,11.09556240612799,Medium Risk,Medium Demand,3,2.7822523017146716,36891.775200000004,Business & Analytics
Business Analyst,UK,Senior,Bachelor,2031,44302.47,0.81,Excel,81,32024,1,High,High Risk,10.698795710686582,High Risk,High Demand,3,1.3833714285714287,8417.469299999997,Business & Analytics
Business Analyst,Australia,Entry,PhD,2017,12726.17,0.67,Excel,65,30749,0,Medium,High Risk,9.451415782182218,High Risk,High Demand,1,0.4138591869918699,4199.6361,Business & Analytics
Cybersecurity Analyst,Canada,Senior,PhD,2034,52431.49,0.34,Security,96,49096,2,High,Medium Risk,10.867262644006944,Medium Risk,High Demand,3,1.0679163696356193,34604.78339999999,Cybersecurity
Cloud Engineer,USA,Entry,PhD,2024,36470.86,0.34,AWS,64,22606,1,High,Medium Risk,10.504268864550198,Medium Risk,Medium Demand,1,1.6132551864466758,24070.7676,Cloud & DevOps
Software Engineer,India,Entry,Bachelor,2016,5950.86,0.36,Java,91,33093,1,Low,Medium Risk,8.691291025910218,Medium Risk,High Demand,1,0.17981688523599443,3808.5504,Software Engineering
Software Engineer,UK,Senior,Bachelor,2029,54112.23,0.49,Java,99,8987,2,High,Medium Risk,10.898815502132798,Medium Risk,Low Demand,3,6.020497329773031,27597.2373,Software Engineering
AI Researcher,Australia,Senior,Bachelor,2027,66344.62,0.17,Deep Learning,89,27258,2,High,Low Risk,11.10261795131829,Low Risk,Medium Demand,3,2.4338611100920797,55066.03459999999,Data & AI
Business Analyst,UK,Entry,Bachelor,2035,23247.99,0.85,Excel,78,29251,0,High,High Risk,10.053973955665443,High Risk,Medium Demand,1,0.794748735129222,3487.198500000001,Business & Analytics
Data Analyst,USA,Mid,Bachelor,2020,25328.73,0.6,SQL,85,26316,1,High,High Risk,10.139694603562685,High Risk,Medium Demand,2,0.9624474674164988,10131.492,Data & AI
DevOps Engineer,UK,Entry,PhD,2022,23329.67,0.27,Docker,82,2150,1,High,Low Risk,10.057481220037596,Low Risk,Low Demand,1,10.845964667596466,17030.659099999997,Cloud & DevOps
Data Scientist,UK,Entry,Master,2031,30144.96,0.41,Python,60,2081,1,High,Medium Risk,10.313773024002739,Medium Risk,Low Demand,1,14.478847262247838,17785.526400000002,Data & AI
DevOps Engineer,Canada,Mid,Master,2034,46420.3,0.39,Docker,93,47175,2,High,Medium Risk,10.745492142539126,Medium Risk,High Demand,2,0.9839812616584704,28316.383,Cloud & DevOps
DevOps Engineer,UK,Senior,Master,2020,51214.31,0.25,Docker,84,46543,2,High,Low Risk,10.843774264164434,Low Risk,High Demand,3,1.1003418270883465,38410.7325,Cloud & DevOps
Business Analyst,UK,Mid,Bachelor,2035,34085.9,0.85,Excel,60,4343,0,High,High Risk,10.436639088025084,High Risk,Low Demand,2,7.846662062615102,5112.885000000001,Business & Analytics
Cybersecurity Analyst,Canada,Mid,PhD,2022,26830.29,0.22,Security,64,48893,2,High,Low Risk,10.197286752157378,Low Risk,High Demand,2,0.5487440176708799,20927.626200000002,Cybersecurity
Cybersecurity Analyst,UK,Entry,PhD,2024,22131.64,0.24,Security,62,20531,1,High,Low Risk,10.004763537845584,Low Risk,Medium Demand,1,1.077909604519774,16820.0464,Cybersecurity
Software Engineer,Germany,Mid,Master,2032,34423.72,0.52,Java,96,8253,1,High,Medium Risk,10.446501140625259,Medium Risk,Low Demand,2,4.170550036346015,16523.3856,Software Engineering
Data Scientist,India,Entry,Bachelor,2027,8595.41,0.37,Python,73,10435,1,Low,Medium Risk,9.058983618831652,Medium Risk,Medium Demand,1,0.8236307014181679,5415.1083,Data & AI
ML Engineer,Australia,Entry,Bachelor,2028,28662.73,0.28,Python,89,31445,2,High,Low Risk,10.263352951556119,Low Risk,High Demand,1,0.9114904916364561,20637.1656,Data & AI
AI Researcher,Germany,Senior,Master,2028,74261.07,0.18,Deep Learning,64,30899,2,High,Low Risk,11.215342136461093,Low Risk,High Demand,3,2.403270873786408,60894.07740000001,Data & AI
Data Analyst,India,Mid,Master,2033,8347.71,0.73,SQL,85,36247,0,Low,High Risk,9.029742528734076,High Risk,High Demand,2,0.23029436106819684,2253.8817,Data & AI
Data Analyst,Canada,Mid,Master,2015,16557.57,0.55,SQL,95,38220,1,Medium,Medium Risk,9.714598678041577,Medium Risk,High Demand,2,0.43320609089244133,7450.906499999999,Data & AI
Cloud Engineer,Germany,Mid,Master,2032,40682.08,0.42,AWS,69,15069,1,High,Medium Risk,10.613542979632157,Medium Risk,Medium Demand,2,2.6995408095554083,23595.606400000004,Cloud & DevOps
DevOps Engineer,Canada,Entry,Master,2022,23747.86,0.27,Docker,93,41158,2,High,Low Risk,10.075247700139906,Low Risk,High Demand,1,0.5769785466119196,17335.9378,Cloud & DevOps
Cybersecurity Analyst,UK,Mid,Bachelor,2027,29230.28,0.27,Security,78,36257,2,High,Low Risk,10.282960437258865,Low Risk,High Demand,2,0.8061746373214187,21338.1044,Cybersecurity
Cloud Engineer,Australia,Senior,Master,2020,51243.16,0.3,AWS,64,17364,2,High,Medium Risk,10.844337424678987,Medium Risk,Medium Demand,3,2.9509450043190326,35870.212,Cloud & DevOps
Business Analyst,India,Senior,PhD,2015,9792.16,0.65,Excel,83,39646,1,Low,High Risk,9.189337344487894,High Risk,High Demand,3,0.2469836305395112,3427.256,Business & Analytics
AI Researcher,Canada,Senior,PhD,2015,55204.71,0.05,Deep Learning,87,26471,2,High,Low Risk,10.91880355471208,Low Risk,Medium Demand,3,2.085400045330916,52444.4745,Data & AI
Data Scientist,Australia,Mid,Bachelor,2029,39385.94,0.39,Python,79,19071,1,High,Medium Risk,10.581164178807038,Medium Risk,Medium Demand,2,2.0651184983221476,24025.4234,Data & AI
ML Engineer,USA,Mid,Master,2025,56534.68,0.25,Python,94,36195,2,High,Low Risk,10.942609534142838,Low Risk,High Demand,2,1.5619040777986517,42401.01,Data & AI
